"price_eur","car_model","mileage_km","year_first_registration","seller_name","car_link","scrapedate"
"€ 42,990.-","Volkswagen ID.4 Pro 128 kW","26,500 km","10/2023","Autohaus Schweiger GmbH","https://www.autoscout24.com/offers/volkswagen-id-4-pro-128-kw-electric-grey-d4405fd2-7243-4499-a1b2-781af77c4d30","2024-12-17"
"€ 50,678.-","Volkswagen ID.4 Pure Performance Goal","8 km","- (First Registration)","Gelder & Sorg Coburg GmbH","https://www.autoscout24.com/offers/volkswagen-id-4-pure-performance-goal-electric-white-1c968afd-2ad4-43af-bb77-0b9bbacb1a15","2024-12-17"
"€ 47,860.-","Volkswagen ID.4 GTX 4 MOTION","17,255 km","03/2023","Schröder-Team-Verl GmbH & Co.KG","https://www.autoscout24.com/offers/volkswagen-id-4-gtx-4-motion-electric-black-e21c2780-e845-42b6-bdf5-57601c75d43a","2024-12-17"
"€ 24,750.-","Volkswagen ID.4 Pure Navi+IQ-Light+ACC+Shzg.+PDC+19´´","32,000 km","04/2022","Autohaus Küver GmbH","https://www.autoscout24.com/offers/volkswagen-id-4-pure-navi-iq-light-acc-shzg-pdc-19-electric-grey-aa59a4dd-fc3c-4ce1-86ca-0f699a63d743","2024-12-17"
"€ 24,990.-","Volkswagen ID.4 Pure LED/ACC/Navi","17,075 km","10/2022","Autohaus Wolfsburg-Hotz und Heitmann GmbH & Co.KG","https://www.autoscout24.com/offers/volkswagen-id-4-pure-led-acc-navi-electric-grey-696904e0-e700-4036-bc03-df42a1694560","2024-12-17"
"€ 23,490.-","Volkswagen ID.4 Pure Performance LED Navi PDC Bluetooth Klima","20,891 km","07/2022","Autohaus Bosch GmbH","https://www.autoscout24.com/offers/volkswagen-id-4-pure-performance-led-navi-pdc-bluetooth-klima-electric-blue-48230879-77b5-45d9-8388-3a7f50131853","2024-12-17"
"€ 36,350.-","Volkswagen ID.4 Pro Performance AHK/Matrix/ACC","4,704 km","11/2023","Autohaus Wolfsburg-Hotz und Heitmann GmbH & Co.KG","https://www.autoscout24.com/offers/volkswagen-id-4-pro-performance-ahk-matrix-acc-electric-blue-c2405a5e-c3fc-4b41-b4a7-632e7e870516","2024-12-17"
"€ 37,500.-","Volkswagen ID.4 GTX 4Motion 21 Zoll Pano Dach AHK Sportpaket","24,500 km","08/2023","Autohaus Bosch GmbH","https://www.autoscout24.com/offers/volkswagen-id-4-gtx-4motion-21-zoll-pano-dach-ahk-sportpaket-electric-white-e233aac0-8770-417c-a76d-78296bc23844","2024-12-17"
"€ 37,010.-","Volkswagen ID.4 Pro Performance | NAVI | AHK | ACC | LED |","11,919 km","11/2023","AVP AUTOLAND GmbH & Co. KG","https://www.autoscout24.com/offers/volkswagen-id-4-pro-performance-navi-ahk-acc-led-electric-grey-8eca48e3-4589-4aec-bc45-a2fc64959203","2024-12-17"
"€ 23,990.-","Volkswagen ID.4 Pure Performance *Navi*PDC*LED*Klima*","37,191 km","06/2021","Sieber Automobile GmbH & Co. KG","https://www.autoscout24.com/offers/volkswagen-id-4-pure-performance-navi-pdc-led-klima-electric-white-fa23d457-0bd6-4908-8167-f720a5cdaee5","2024-12-17"
"€ 33,930.-","Volkswagen ID.4 220 kW GTX 4M MATRIX+NAVI+AHK+ACC+CCS+HuD","66,925 km","12/2021","Motor-Nützel Vertriebs-GmbH","https://www.autoscout24.com/offers/volkswagen-id-4-220-kw-gtx-4m-matrix-navi-ahk-acc-ccs-hud-electric-blue-c558ef64-9bff-4236-9f4b-df4e049bb83f","2024-12-17"
"€ 21,890.-","Volkswagen ID.4 Pure Performance Pure Performance LED+NAV+BT+PDC","44,868 km","07/2021","Autohaus Staaf GmbH","https://www.autoscout24.com/offers/volkswagen-id-4-pure-performance-pure-performance-led-nav-bt-pdc-electric-grey-18bf14d9-9d7b-4bdd-b3b4-30107df1e8f2","2024-12-17"
"€ 28,990.-","Volkswagen ID.4 Pure Performance","10,010 km","02/2023","Auto Schubert Gmbh & Co. KG","https://www.autoscout24.com/offers/volkswagen-id-4-pure-performance-electric-black-1ba668ca-ae78-4242-b961-cf6f76fc1f59","2024-12-17"
"€ 33,950.-","Volkswagen ID.4 Pro Performance 150 kW, Matrix, AHK, ACC, 360°","26,800 km","12/2022","Auto Grieb","https://www.autoscout24.com/offers/volkswagen-id-4-pro-performance-150-kw-matrix-ahk-acc-360-electric-blue-ffd5179f-d401-4d16-8ec3-1170433b6743","2024-12-17"
"€ 42,479.-","Volkswagen ID.4 GTX 4MOTION Wärmepumpe ACC Pano Navi Matrix","13,870 km","06/2023","Autohaus Heitz GmbH & Co. KG","https://www.autoscout24.com/offers/volkswagen-id-4-gtx-4motion-waermepumpe-acc-pano-navi-matrix-electric-black-58583cd1-8780-4b48-a530-78aa3114cb5f","2024-12-17"
"€ 42,790.-","Volkswagen ID.4 Pro Performance sofort","5,000 km","09/2022","Autohaus Tumbrink GmbH","https://www.autoscout24.com/offers/volkswagen-id-4-pro-performance-sofort-electric-silver-19176157-a15c-4d20-944b-969aaac5cf0d","2024-12-17"
"€ 37,600.-","Volkswagen ID.4 150 kW Pro Performance","16,800 km","10/2022","Karl Bergisch GmbH & Co. KG","https://www.autoscout24.com/offers/volkswagen-id-4-150-kw-pro-performance-electric-black-0ab1f200-e499-4e8a-9fb2-d133589154df","2024-12-17"
"€ 39,995.-","Volkswagen ID.4 150 kW Pro Performance","13,500 km","05/2023","Auto & Service Lohre GmbH","https://www.autoscout24.com/offers/volkswagen-id-4-150-kw-pro-performance-electric-black-01b99a5e-88cd-44ab-91ec-2dcb970e10c4","2024-12-17"
"€ 33,990.-","Volkswagen ID.4 150 kW Pro Performance 1st","18,961 km","04/2021","Höper GmbH & Co. KG","https://www.autoscout24.com/offers/volkswagen-id-4-150-kw-pro-performance-1st-electric-grey-dcf9d1c6-9df9-45df-bcf8-1038b00399be","2024-12-17"
"€ 42,999.-","Volkswagen ID.4 220 kW GTX 4Motion Pano Head Up 360 Kamera Klima","28,000 km","09/2022","Autohaus Pfister","https://www.autoscout24.com/offers/volkswagen-id-4-220-kw-gtx-4motion-pano-head-up-360-kamera-klima-electric-grey-c8579af8-24e3-440f-b97e-9c24dcd43d5e","2024-12-17"
"€ 37,990.-","Volkswagen ID.4 150 kW Pro Performance +AHK+WÄRMEPUMPE+++","23,000 km","08/2022","Höper GmbH & Co. KG","https://www.autoscout24.com/offers/volkswagen-id-4-150-kw-pro-performance-ahk-waermepumpe-electric-black-0bdf2fd7-f3e9-47fa-af5b-336391f89275","2024-12-17"
"€ 29,500.-","Volkswagen ID.4 ID.4 Performance Upgrade Pro","1,000 km","12/2022",NA,"https://www.autoscout24.com/offers/volkswagen-id-4-id-4-performance-upgrade-pro-electric-white-0cd75690-fcc0-44c3-a77d-0bfbd4ad38a9","2024-12-17"
"€ 32,400.-","Volkswagen ID.4 ID.4+Pro+mit+Infotainment-Paket","5,714 km","04/2023",NA,"https://www.autoscout24.com/offers/volkswagen-id-4-id-4-pro-mit-infotainment-paket-electric-silver-65dc80ff-7ec3-46ff-83d3-7e96d8e7a4bb","2024-12-17"
"€ 22,790.-","Volkswagen ID.4 PURE AHK NAVI LED APP-CONNECT PDC+","27,019 km","08/2021","Tiemeyer automobile GmbH & Co. KG","https://www.autoscout24.com/offers/volkswagen-id-4-pure-ahk-navi-led-app-connect-pdc-electric-grey-62c31d9e-beb7-4187-9892-7acc757443de","2024-12-17"
"€ 29,000.-","Volkswagen ID.4 ID.4+Pro","15,000 km","12/2023",NA,"https://www.autoscout24.com/offers/volkswagen-id-4-id-4-pro-electric-white-dfa95a19-f936-44db-b95f-0a7468b3c781","2024-12-17"
"€ 31,600.-","Volkswagen ID.4 ID.4 Pro","9,900 km","09/2023",NA,"https://www.autoscout24.com/offers/volkswagen-id-4-id-4-pro-electric-black-55a24ddc-6391-4416-9757-928df47937e4","2024-12-17"
"€ 29,900.-","Volkswagen ID.4 ID.4 Performance Upgrade Pro","13,302 km","10/2022",NA,"https://www.autoscout24.com/offers/volkswagen-id-4-id-4-performance-upgrade-pro-electric-0f25a9e8-7779-4dda-a42d-9279af013093","2024-12-17"
"€ 26,290.-","Volkswagen ID.4 Pro Perf. 1st LED Navi Alu 20 SHZ AHK WP","41,000 km","12/2020","R.S. Automobile GmbH","https://www.autoscout24.com/offers/volkswagen-id-4-pro-perf-1st-led-navi-alu-20-shz-ahk-wp-electric-white-9ec3542a-81e3-4073-8060-e62276159121","2024-12-17"
"€ 29,990.-","Volkswagen ID.4 Pro Performance Navi LED ACC PDC SHZ","22,093 km","12/2022","Volkswagen Automobile Hannover GmbH","https://www.autoscout24.com/offers/volkswagen-id-4-pro-performance-navi-led-acc-pdc-shz-electric-grey-8615deb4-09f4-48aa-82b0-c3bc656e570d","2024-12-17"
"€ 18,950.-","Volkswagen ID.4 52 KWh ""PURE PERFORMANCE"" 170 PS +NAVI+PDC+GANZJAH","120,090 km","07/2021","Autohaus Neutraubling GmbH","https://www.autoscout24.com/offers/volkswagen-id-4-52-kwh-pure-performance-170-ps-navi-pdc-ganzjah-electric-grey-c9eed946-12d1-41d2-8fa4-cad829f2b098","2024-12-17"
