"price_eur","car_model","mileage_km","year_first_registration","seller_name","car_link","scrapedate"
"€ 22,997.-","Volkswagen ID.4 Pure Navi LED Climatronic LaneAssist","10,000 km","12/2021","Autohaus Potthoff GmbH","https://www.autoscout24.com/offers/volkswagen-id-4-pure-navi-led-climatronic-laneassist-electric-white-7457f7f3-0465-4250-aade-b9386787056a","2024-12-10"
"€ 38,490.-","Volkswagen ID.4 Pro Performance GJR/PLA/RFK/Lenkradhz/77kWh","43 km","- (First Registration)","Autohaus Gädebehn","https://www.autoscout24.com/offers/volkswagen-id-4-pro-performance-gjr-pla-rfk-lenkradhz-77kwh-electric-black-3b7a6200-9997-41ab-aaf1-059c15c98b22","2024-12-10"
"€ 30,990.-","Volkswagen ID.4 Pro Performance Max Matrix ACC WP Kessy Nav","20,000 km","04/2021","R.S. Automobile GmbH","https://www.autoscout24.com/offers/volkswagen-id-4-pro-performance-max-matrix-acc-wp-kessy-nav-electric-grey-4ed63c98-6995-4299-a660-45a1f9f5d9ae","2024-12-10"
"€ 32,389.-","Volkswagen ID.4 GTX 4M ACC Navi DCC 8-fach 20"" IQ.Light HUD","34,950 km","09/2021","JB CarConcept GmbH","https://www.autoscout24.com/offers/volkswagen-id-4-gtx-4m-acc-navi-dcc-8-fach-20-iq-light-hud-electric-grey-ec169e53-8b10-43f3-9b35-26901dd0cf2e","2024-12-10"
"€ 23,990.-","Volkswagen ID.4 Pure Performace 1-Gang Automatik Navi","9,400 km","08/2021","Sielemann Automobile e.K.","https://www.autoscout24.com/offers/volkswagen-id-4-pure-performace-1-gang-automatik-navi-electric-grey-329e2b11-bf57-4337-b3fa-30c7809e3eda","2024-12-10"
"€ 24,880.-","Volkswagen ID.4 PRO LM19 NAVI-PRO APP-CONNECT PDC+","57,718 km","11/2021","Tiemeyer automobile GmbH & Co. KG","https://www.autoscout24.com/offers/volkswagen-id-4-pro-lm19-navi-pro-app-connect-pdc-electric-grey-4f7ada9d-4cb2-41ca-91db-a5444d677c3c","2024-12-10"
"€ 25,777.-","Volkswagen ID.4 Pro Performance AHK PDC LED Navi LaneAssist AppCon","51,608 km","09/2021","Autohaus Potthoff GmbH","https://www.autoscout24.com/offers/volkswagen-id-4-pro-performance-ahk-pdc-led-navi-laneassist-appcon-electric-grey-2efb1416-bf1f-4708-b115-589107f235dc","2024-12-10"
"€ 32,980.-","Volkswagen ID.4 PRO AHK KAMERA SITZH ACC","19,859 km","10/2023","Tiemeyer automobile GmbH & Co. KG","https://www.autoscout24.com/offers/volkswagen-id-4-pro-ahk-kamera-sitzh-acc-electric-blue-75973119-f1b8-4790-b209-76225852bfea","2024-12-10"
"€ 25,750.-","Volkswagen ID.4 PRO LM19 AHK WÄRMEPUMPE NAVI-PRO","61,487 km","10/2021","Tiemeyer automobile GmbH & Co. KG","https://www.autoscout24.com/offers/volkswagen-id-4-pro-lm19-ahk-waermepumpe-navi-pro-electric-yellow-6e878af6-fd16-4fc1-a43e-ce35ee9209ad","2024-12-10"
"€ 22,680.-","Volkswagen ID.4 Pro Performance 150 kW 1st * 1.H * R-KAM *","144,000 km","06/2021","UG - Automobile","https://www.autoscout24.com/offers/volkswagen-id-4-pro-performance-150-kw-1st-1-h-r-kam-electric-grey-6ca29103-62d7-4ac0-bac0-b4eeabb06cda","2024-12-10"
